Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,ElaSp,EleSp,LemMin,MyrSpi,NajMin,NymOdo,SpiPol,StuPec,ValAme
3,4,20,Gre0,41.47025,-73.43504,9/15/10,5,Sand,0,0,0,0,2,0,0,0,0,0
3,5,30,Greg,41.47028,-73.43495,9/16/10,9,Sand,0,0,0,0,4,0,0,0,0,0
3,6,40,Gre0,41.47029,-73.43481,9/17/10,9.5,Silt,0,0,0,0,0,0,0,0,0,0
3,7,50,Gre0,41.47041,-73.4347,9/18/10,9.8,Silt,0,0,0,0,0,0,0,0,0,0
3,8,60,Gre0,41.4704,-73.43467,9/19/10,9.8,Silt,0,0,0,0,0,0,0,0,0,0
3,9,70,Gre0,41.47051,-73.4345,9/20/10,10,Silt,0,0,0,0,0,0,0,0,0,0
3,10,80,Gre0,41.47047,-73.43433,9/21/10,10,Silt,0,0,0,0,0,0,0,0,0,0
4,1,0.1,Greg,41.57121,-73.48837,9/22/10,0.1,Muck,1,0,0,0,0,0,0,0,0,0
4,2,5,Greg,41.57116,-73.48837,9/23/10,0.5,Muck,0,0,0,0,1,0,0,0,0,0
4,3,10,Greg,41.57111,-73.48837,9/24/10,0.8,Muck,0,0,0,0,2,0,0,0,0,0
4,4,20,Greg,41.57104,-73.48841,9/25/10,1,Muck,0,0,0,0,2,0,0,0,0,0
4,5,30,Greg,41.57099,-73.48845,9/26/10,1.2,Muck,0,0,0,0,5,0,2,0,0,0
4,6,40,Greg,41.57086,-73.48854,9/27/10,1.9,Silt,0,0,0,0,3,0,0,0,0,0
4,7,50,Greg,41.57079,-73.48861,9/28/10,2.2,Silt,0,0,0,0,4,0,0,0,0,0
4,8,60,Greg,41.57072,-73.48867,9/29/10,3,Silt,0,0,0,0,3,0,0,0,0,0
4,9,70,Greg,41.57064,-73.48871,9/30/10,3,Silt,0,0,0,0,2,0,0,0,0,0
4,10,80,Greg,41.57054,-73.4887,10/1/10,3.2,Silt,0,0,0,0,0,0,0,0,0,0
5,1,0.1,Greg,41.5021,-73.4515,10/2/10,0.1,Sand,0,0,0,0,0,0,0,0,0,0
5,2,5,Greg,41.50221,-73.45158,10/3/10,0.8,Sand,0,0,0,0,2,0,0,0,0,0
5,3,10,(Gsreg,41.50222,-73.45162,10/4/10,1,Sand,0,0,0,0,2,0,0,0,1,0
5,4,20,(sreg,41.50221,-73.45173,10/5/10,1.8,Sand,0,0,0,0,4,0,0,0,1,0
5,5,30,Gareg,41.50213,-73.45184,10/6/10,2.1,Sand,0,0,0,0,5,0,0,0,0,0
5,6,40,(sre0,41.50215,-73.45198,10/7/10,2.9,Sand,0,0,0,0,4,0,0,0,0,0
5,7,50,Greg,41.50224,-73.45212,10/8/10,3.1,Sand,0,0,0,0,4,0,0,0,0,0
5,8,60,Gsreg,41.50221,-73.4522,10/9/10,4,Sand,1,0,0,0,0,0,0,0,0,0
5,9,70,(Gre0,41.50213,-73.45234,10/10/10,5,Silt,0,0,0,0,0,0,0,0,0,0
5,10,80,re0,41.50211,-73.45244,10/11/10,5.2,Silt,0,0,0,0,0,0,0,0,0,0
6,1,0,Greg,41.51386,-73.45337,10/12/10,0.2,Muck,0,0,0,0,3,2,0,0,0,3
6,2,5,Greg,41.51391,-73.4534,10/13/10,0.4,Muck,0,0,0,0,3,2,0,2,0,0
6,3,10,Greg,41.51396,-73.45342,10/14/10,0.8,Muck,0,0,0,0,2,1,0,0,0,0
6,4,20,Greg,41.51403,-73.45343,10/15/10,1.3,Muck,0,0,0,0,3,0,0,0,0,0
6,5,30,Greg,41.51411,-73.45344,10/16/10,1.8,Muck,0,0,0,0,5,0,0,0,0,0
6,6,40,Greg,41.51421,-73.45345,10/17/10,1.9,Muck,0,0,0,0,5,0,0,0,0,0
6,7,50,Greg,41.51429,-73.45342,10/18/10,2.1,Muck,0,0,0,0,4,0,0,0,0,0
6,8,60,Greg,41.51441,-73.45347,10/19/10,3.2,Muck,0,0,0,0,0,0,0,0,0,0
6,9,70,Greg,41.51449,-73.45346,10/20/10,4.2,Silt,0,0,0,0,0,0,0,0,0,0
6,10,80,Greg,41.5146,-73.45341,10/21/10,5,Silt,0,0,0,0,0,0,0,0,0,0
7,1,0,Gre0,41.57148,-73.44276,10/22/10,0.2,Silt,0,0,0,0,0,0,0,0,0,0
7,2,5,Greg,41.57152,-73.44285,10/23/10,1,Gravel,0,0,0,0,3,0,0,0,0,0
7,3,100,Greg,41.57151,-73.44291,10/24/10,1.5,Gravel,0,0,0,0,3,0,0,0,0,0
7,4,20,Greg,41.57145,-73.44303,10/25/10,2.7,Muck,0,0,0,0,5,0,0,0,0,0
7,5,30,Gre0,41.57154,-73.44313,10/26/10,3.2,Muck,0,0,0,0,4,0,0,0,0,0
7,6,40,Gre0,41.57154,-73.44329,10/27/10,4.1,Muck,0,0,0,0,0,0,0,0,0,0
7,7,50,Greg,41.57151,-72.4434,10/28/10,5,Silt,0,0,0,0,0,0,0,0,0,0
7,8,60,Greg,41.57163,-73.44348,10/29/10,6,Silt,0,0,0,0,0,0,0,0,0,0
7,9,70,Greg,41.57172,-73.44356,10/30/10,9,Silt,0,0,0,0,0,0,0,0,0,0
7,10,80,Greg,41.5718,-73.44366,10/31/10,12,Silt,0,0,0,0,0,0,0,0,0,0
8,1,0,Greg,41.51294,-73.44119,11/1/10,2,Sand,0,0,0,0,0,0,0,0,0,0
8,2,5,Greg,41.51289,-73.44115,11/2/10,1,Sand,0,0,0,0,2,0,0,0,0,0
8,3,10,Greg,41.51282,-73.44119,11/3/10,1.8,Sand,0,0,0,0,4,0,0,0,0,0
8,4,20,Greg,41.51276,-73.44118,11/4/10,1.9,Gravel,0,0,0,0,4,0,0,0,0,0
8,5,30,Greg,41.51265,-73.44113,11/5/10,1.9,Gravel,0,0,0,0,4,0,0,0,0,0
8,6,40,Greg,41.51253,-73.44115,11/6/10,3,Sand,0,0,0,0,4,0,0,0,0,0
8,7,50,Greg,41.51248,-73.44118,11/7/10,2.5,Gravel,0,0,0,0,4,0,0,0,0,0
8,8,60,Greg,41.51239,-73.44115,11/8/10,5,Silt,0,0,0,0,0,0,0,0,0,0
8,9,70,Greg,41.51228,-73.44111,11/9/10,6,Silt,0,0,0,0,0,0,0,0,0,0
8,10,80,Greg,41.51222,-73.44117,11/10/10,5,Silt,0,0,0,0,0,0,0,0,0,0
9,1,0.1,Greg,41.4805,-73.43466,11/11/10,0.1,Sand,1,2,3,0,2,2,0,0,0,0
9,2,5,Greg,41.4805,-73.43472,11/12/10,0.8,Sand,0,0,0,0,3,2,0,0,0,0
9,3,10,Greg,41.48048,-73.42479,11/13/10,1,Muck,0,0,0,0,3,0,0,0,0,0
9,4,20,Gre0,41.48045,-73.4349,11/14/10,1.6,Muck,0,0,0,0,5,0,0,0,0,0
9,6,40,Greg,41.48047,-73.43513,11/15/10,2,Silt,0,0,0,0,4,0,0,0,0,0
9,5,30,Greg,41.48045,-72.435,11/16/10,1.9,Silt,0,0,0,0,4,0,0,0,0,0
9,7,50,Greg,41.48034,-73.43524,11/17/10,2,Silt,0,0,0,0,3,0,0,0,0,0
9,8,60,Gre0,41.4803,-73.43534,11/18/10,1.6,Silt,0,0,0,0,4,0,0,0,0,0
9,9,70,Greg,41.48027,-73.43547,11/19/10,1.5,Silt,0,0,0,0,5,0,0,0,0,0
9,10,80,Gre0,41.48026,-73.4359,11/20/10,1.5,Sand,4,0,0,0,2,0,0,0,0,0
10,1,0.2,Greg,41.44704,-73.42978,11/21/10,0.1,Muck,3,0,0,1,3,2,0,0,0,2
10,2,5,Greg,41.4471,-73.42975,11/22/10,0.5,Muck,1,0,0,1,3,2,0,0,0,1
10,3,10,Greg,41.44712,-73.42973,11/23/10,0.8,Sand,0,0,0,0,0,0,0,0,0,4
10,4,20,Greg,41.44718,-73.42963,11/24/10,1,Sand,1,0,0,0,2,0,0,0,0,3
10,5,30,Greg,41.44728,-73.42957,11/25/10,0.5,Sand,3,0,0,0,3,2,0,0,0,0
10,6,40,Greg,41.44733,-73.4295,11/26/10,1,Muck,2,0,0,1,4,2,0,0,0,0
