Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,ElaSp,EleSp,LemMin,MyrSpi,NajMin,NymOdo,SpaSpp,SpiPol,Typha,ValAme
3,6,40,Greg,41.47019,-73.43481,9/8/19,9,Silt,0,0,0,0,0,0,0,0,0,0,0
3,7,50,Greg,41.47025,73.43469,9/8/19,9.5,Silt,0,0,0,0,0,0,0,0,0,0,0
3,8,60,Greg,41.47024,-73.43458,9/8/19,9.5,Silt,0,0,0,0,0,0,0,0,0,0,0
3,9,70,Greg,41.47027,-73.43445,9/8/19,9.5,Silt,0,0,0,0,0,0,0,0,0,0,0
3,10,80,Greg,41.47029,-73.43435,9/8/19,9.6,Silt,0,0,0,0,0,0,0,0,0,0,0
4,1,5,Greg,41.57127,-73.48835,9/11/19,0.2,Muck,0,0,0,0,0,0,0,0,0,0,0
4,2,5,Grep,41.57123,-73.48836,9/11/19,0.6,Muck,0,0,0,0,2,0,0,0,0,0,0
4,3,10,Greg,41.57117,73.48837,9/11/19,1,Muck,1,0,0,0,2,0,0,0,0,0,0
4,4,20,Greg,41.57108,-73.48841,9/11/19,0,Muck,1,0,0,0,2,0,2,0,0,0,0
4,5,30,Greg,41.571,-73.48847,9/11/19,1.5,Muck,1,0,0,0,2,0,2,0,0,0,0
4,6,40,Greg,41.57091,-73.48847,9/11/19,2.5,Muck,2,0,0,0,2,0,0,0,0,0,0
4,7,50,Greg,41.57086,-73.48853,9/11/19,2.4,Muck,1,0,0,0,0,0,0,0,0,0,0
4,8,60,Greg,41.57079,-73.48856,9/11/19,3,Muck,0,0,0,0,1,0,0,0,0,0,0
4,9,70,Greg,41.57068,-73.48864,9/11/19,3,Muck,0,0,0,0,0,0,0,0,0,0,0
4,10,80,Greg,41.5706,73.48867,9/11/19,3.3,Muck,0,0,0,0,0,0,0,0,0,0,0
5,1,0.5,Greg,41.50219,-73.45149,9/11/19,1,Sand,0,0,0,0,0,0,0,0,0,0,0
5,2,5,Greg,41.50216,-73.45154,9/11/19,1,Sand,1,0,0,0,1,0,0,0,0,0,0
5,3,10,Greg,41.50214,-73.45162,9/11/19,1.3,Sand,0,0,2,0,0,0,0,0,0,0,0
5,4,20,Greg,41.50212,-73.45172,9/11/19,1.8,Sand,0,0,0,0,1,0,0,0,0,0,2
5,5,30,Greg,41.50213,-73.45189,9/11/19,2.5,Gravel,0,0,0,0,1,0,0,0,0,0,0
5,6,40,Greg,41.50213,-73.45198,9/11/19,3,Gravel,0,0,0,0,2,0,0,0,0,0,0
5,7,50,Greg,41.50214,-73.45211,9/11/19,3.5,Silt,0,0,0,0,2,0,0,0,0,0,0
5,8,60,Greg,41.50213,-73.4522,9/11/19,4.5,Silt,0,0,0,0,2,0,0,0,0,0,0
5,9,70,Greg,41.50215,-73.4523,9/11/19,5.3,Silt,0,0,0,0,0,0,0,0,0,0,0
5,10,80,Greg,41.50211,-73.45245,9/11/19,5.8,Silt,0,0,0,0,0,0,0,0,0,0,0
6,1,0.5,Greg,41.51379,-73.45331,9/11/19,2,Muck,0,0,0,2,0,0,0,0,2,0,0
6,2,5,Grey,4151382,-73.45331,9/11/19,0.4,Muck,1,0,0,0,1,0,0,0,0,0,0
6,3,10,Greg,41.51386,-73.45332,9/11/19,1,Muck,0,0,0,0,2,0,0,0,0,0,0
6,4,20,Greg,41.51395,73.45331,9/11/19,1.3,Muck,0,0,0,0,2,0,0,0,0,0,0
6,5,30,Greg,4151405,73.45332,9/11/19,1.4,Muck,2,0,0,0,2,0,0,0,0,0,0
6,6,40,Greg,4151416,-73.49332,9/11/19,2.3,Muck,0,0,0,0,2,0,0,0,0,0,0
6,7,50,Greg,41.51425,-73.45334,9/11/19,2.8,Muck,0,0,0,0,3,0,0,0,0,0,0
6,8,60,Grep,41.51435,-73.45335,9/11/12,3,Muck,0,0,0,0,2,0,0,0,0,0,0
6,9,70,Greg,41.51442,73.4533,9/11/19,4.2,Muck,0,0,0,0,2,0,0,0,0,0,0
6,10,80,Greg,4151451,73.49339,9/11/19,5,Muck,0,0,0,0,0,0,0,0,0,0,0
7,1,0.5,Grep,4157145,73.44266,9/4/19,0.1,Sand,0,0,0,0,0,0,0,0,0,0,0
7,2,5,Greg,41.57143,-73.44273,9/4/19,0.5,Sand,0,0,0,0,1,0,0,0,0,0,0
7,3,10,Greg,41.57139,-73.44282,9/4/19,1,Muck,1,0,0,0,1,0,0,0,0,0,0
7,4,20,Greg,4157140,-73.44292,9/4/19,2,Muck,1,0,0,0,1,0,0,0,0,0,0
7,5,30,Greg,41.57141,73.44305,9/4/19,3,Muck,0,0,0,0,1,0,0,0,0,0,0
7,6,40,Greg,41.57142,.73.44313,9/4/19,3.5,Muck,2,0,0,0,1,0,0,0,0,0,0
7,7,50,Greg,4157142,-73.44328,9/5/19,4.5,Muck,3,0,0,0,0,0,0,0,0,0,0
7,8,60,Greg,41.5714,-73.44341,9/4/19,5.6,Muck,0,0,0,0,0,0,0,0,0,0,0
7,9,70,Greg,41.5714,-73.44353,9/4/19,6,Muck,0,0,0,0,0,0,0,0,0,0,0
7,10,80,Greg,41.57138,-73.44363,9/4/19,0,Muck,0,0,0,0,0,0,0,0,0,0,0
8,1,0.5,Greg,4151294,-73.44117,9/8/19,0.5,Sand,0,0,2,0,0,0,0,0,0,0,0
8,2,5,Greg,4151289,73.44119,9/8/19,1.4,Sand,0,0,2,0,0,0,0,0,0,0,0
8,3,10,Greg,4151285,-73.4412,9/8/19,1.8,Sand,0,2,2,0,2,2,0,0,0,0,0
8,4,20,Greg,41.51276,-73.44117,9/8/19,2,Gravel,0,0,0,0,2,0,0,0,0,0,0
8,4,30,Greg,4151269,7344114,9/8/19,4,Gravel,0,0,0,0,0,0,0,0,0,0,0
8,6,40,Greg,4151257,7344118,9/8/19,3,Gravel,0,0,0,0,2,0,0,0,0,0,0
8,7,50,Grep,41.91248,-73.44117,9/8/19,3.5,Gravel,0,0,0,0,3,0,0,0,0,0,0
8,8,60,Gree,41.51239,-73.44119,9/8/19,3.5,Gravel,0,0,0,0,3,0,0,0,0,0,0
8,9,70,Greg,41.51231,73.44126,9/8/19,3.4,Gravel,0,0,0,0,3,0,0,0,0,0,0
8,10,80,Greg,4151225,-73.44125,9/8/19,3.8,Gravel,0,0,0,0,3,0,0,0,0,0,0
8,1,0.5,Greg,41.48049,-73.43464,9/8/19,0.2,Sand,0,2,0,0,0,0,0,2,0,0,0
9,2,5,Greg,41.48049,-73.43467,9/8/19,1,Sand,0,0,0,0,1,0,0,0,0,0,0
9,3,10,Grep,41.48045,-73.43475,9/8/19,1.5,Sand,0,0,0,0,0,0,0,0,0,0,0
9,4,20,Greg,41.48043,73.43486,9/8/19,1.7,Sand,0,0,0,0,0,0,0,0,0,0,0
9,5,30,Greg,41.48039,-73.43499,9/8/19,2.4,Sand,0,0,0,0,0,0,0,0,0,0,0
9,6,40,Greg,41.48035,-73.4351,9/8/19,2.2,Sand,0,0,0,0,2,0,0,0,0,0,0
9,7,50,Greg,41.48034,-73.4352,9/8/19,2.8,Sand,0,0,0,0,1,0,0,0,0,0,0
9,8,60,Grep,41.48035,-73.43528,9/8/19,2.5,Sand,0,0,0,0,1,0,0,0,0,0,0
9,9,70,Greg,41.48027,-73.43542,9/8/19,2,Sand,0,0,0,0,0,0,0,0,0,0,0
9,10,80,Greg,41.48023,73.43553,9/8/19,1.7,Sand,0,0,0,0,0,0,0,0,0,0,0
10,1,90,Greg,41.44736,-73.42952,9/8/19,0.2,Sand,0,0,0,0,2,0,0,0,0,0,0
10,2,5,Grep,41.44734,-73.42959,9/8/19,8,Sand,1,0,0,0,0,0,0,0,0,0,0
10,3,10,Gree,41.4473,-73.42963,9/8/19,1,Muck,0,0,0,0,2,0,0,0,0,0,0
10,4,20,Greg,41.44722,73.42964,9/8/19,1.6,Muck,0,0,0,0,2,0,0,0,0,0,0
10,4,30,Greg,41.44719,73.4298,9/8/19,1.5,Muck,0,0,0,0,1,0,0,0,0,0,0
10,0,40,Grep,41.44716,73.4299,9/8/19,0.9,Muck,0,0,0,0,1,0,0,0,0,0,0
10,7,50,Greg,41.44707,-73.42998,9/8/19,0.1,Muck,0,0,0,0,0,0,0,0,0,2,0
