Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,ElaSp,EleSp,MyrSpi,NajMin,NymOdo,PotFol,PotPer,StuPec,ValAme
2,10,80,Greg,41.42719,-73.45011,9/21/14,0.2,Muck,1,0,0,4,0,0,0,0,0,0
3,1,5,Greg,41.47027,-73.43534,9/22/14,0.8,Sand,0,0,0,0,0,0,0,0,3,0
3,2,5,Greg,41.47029,-74.43527,9/23/14,1.4,Sand,0,0,0,2,2,0,0,0,4,0
3,3,10,Greg,41.47028,-73.43521,9/24/14,5.2,Sand,0,0,0,4,0,0,0,0,0,0
3,4,20,Greg,41.47031,-73.4351,9/25/14,8.1,Sand,0,0,0,1,0,0,0,0,0,0
3,5,30,Gre0,41.4703,-73.43499,9/26/14,9,Sand,0,0,0,0,0,0,0,0,0,0
3,6,40,Greg,41.47032,-73.43488,9/2/14,9.2,Sand,0,0,0,0,0,0,0,0,0,0
3,7,50+C41,Greg,41.47032,-73.43476,9/2/14,9.2,Sand,0,0,0,0,0,0,0,0,0,0
3,8,60,Greg,41.47033,-73.43464,9/2/14,9.2,Sand,0,0,0,0,0,0,0,0,0,0
3,9,70,Greg,41.47036,-73.43453,9/2/14,9.2,Sand,0,0,0,0,0,0,0,0,0,0
3,10,80,Gre0,41.47039,-73.43442,9/2/14,0.5,Sand,0,0,0,0,0,0,0,0,0,0
4,1,0.5,Greg,41.57124,-73.48835,9/5/14,0.5,Muck,0,0,0,2,0,0,0,0,0,0
4,2,5,Greg,41.5712,-73.48841,9/5/14,1,Muck.,0,0,0,2,0,0,0,0,0,0
4,3,10,Greg,41.57112,-73.48838,9/5/14,2,Muck,0,0,0,0,0,0,0,0,0,0
4,4,20,Greg,41.57105,-73.48841,9/5/14,2,Muck,0,0,0,5,0,0,0,0,0,0
4,5,30,Greg,41.57097,-73.48849,9/5/14,2,Muck,0,0,0,5,0,0,0,0,0,0
4,6,40,Greg,41.5709,-73.48854,9/5/14,2.2,Silt,0,0,0,4,0,0,0,0,0,0
4,7,50,Greg,41.57081,-73.48859,9/5/14,2.3,Silt,0,0,0,3,0,0,0,0,0,0
4,8,60,Greg,41.57073,-73.48865,9/5/14,3,Silt,0,0,0,4,0,0,0,0,0,0
4,9,70,Greg,41.57064,-73.48865,9/5/14,3.5,Silt,0,0,0,2,0,0,0,0,0,0
4,10,80,Greg,41.57055,-73.48871,9/5/14,3.5,Silt,0,0,0,0,0,0,0,0,0,0
5,1,5,Greg,41.50219,-73.45151,9/5/14,2,Sand,0,0,0,0,3,0,0,0,0,0
5,2,5,Greg,41.50216,-73.45157,9/5/14,1,Sand,0,0,0,3,0,0,0,0,0,0
5,3,10,Greg,41.750221,-73.45158,9/5/14,1.3,Sard,0,0,0,3,2,0,0,0,0,0
5,4,20,Greg,41.50221,-73.45175,9/5/14,1.8,Silt,0,0,0,2,0,0,0,0,0,2
5,5,30,Greg,41.59225,-7345188,9/5/14,2.4,Silt,0,0,0,4,0,0,0,0,0,0
5,6,40,Greg,41.59228,-7345198,9/5/14,0,Silt,0,0,0,4,0,0,0,0,0,0
5,7,50,Greg,41.50228,-75.45213,9/5/14,3.7,Silt,0,0,0,2,0,6,0,0,0,0
5,8,60,Greg,41.50219,-73.45226,9/5/14,5,Silt,0,0,0,0,0,0,0,0,0,0
5,0,79,Grey,41.50226,-73.45233,9/5/14,5.8,Silt,0,0,0,0,0,0,0,0,0,0
5,10,80,Greg,41.50221,-73.45255,9/5/14,5.7,Silt,0,0,0,0,0,0,0,0,0,0
6,1,5,Greg,41.51382,-73.4534,9/5/14,2,Muck,0,0,0,2,0,0,0,0,0,0
6,2,0,Grey,41.51389,-73.45341,9/5/14,4,Muck,1,0,0,5,2,0,0,0,0,0
6,3,10,Greg,41.51393,-73.45342,9/5/14,1,Sand,2,0,0,5,0,0,0,0,0,0
6,4,20,Greg,41.514,-73.45343,9/5/14,1.5,Sand,0,0,0,5,0,0,0,0,0,0
6,5,30,Greg,41.51407,-73.45346,9/5/14,2,Sand,0,0,0,5,0,0,0,0,0,0
6,6,40,Gre0,41.51417,-73.4535,9/5/14,2.1,Silt,0,0,0,4,0,0,0,0,0,0
6,7,50,Greg,47151431,-73.45348,9/5/14,2.5,Silt,0,0,0,3,0,0,0,0,0,0
6,8,80,Greg,47151441,-73.45342,9/5/14,3.5,Slt,0,0,0,0,0,0,0,0,0,0
6,9,70,Greg,41.51447,-73.45349,9/5/14,4.5,Silt,0,0,0,0,0,0,0,0,0,0
6,10,80,Greg,41.51458,-73.45347,9/5/14,0,silt,0,0,0,0,0,0,0,0,0,0
7,1,0,Greg,41.57151,-73.44273,9/11/14,2,Rock,0,0,0,1,0,0,0,0,0,0
7,2,5,Greg,41.57149,-73.4428,9/11/14,1,Sand,0,0,0,3,3,0,0,0,0,0
7,3,19,Greg,41.5715,-73.44288,9/11/14,1.5,Sand,0,0,0,5,0,0,0,0,0,0
7,4,20,Greg,41.57149,-73.443,9/11/14,2,Silt,0,0,0,5,0,0,0,0,0,0
7,5,30,Gre0,41.57151,-73.44313,9/11/14,3.4,Silt,0,0,0,5,0,0,0,0,0,0
7,6,40,Greg,41.57146,-73.44319,9/11/14,4,Silt,0,0,0,4,0,0,0,0,0,0
7,7,50,Greg,41.57148,73.44336,9/11/14,5,Silt,0,0,0,0,0,0,0,0,0,0
7,8,60,Greg,41.57149,-73.44344,9/11/14,5.3,Silt,0,0,0,0,0,0,0,0,0,0
7,9,70,Greg,41.57155,-73.44358,9/11/14,6,Silt,0,0,0,0,0,0,0,0,0,0
7,10,80,Greg,41.9715,-73.4437,9/11/14,4.3,Sit,0,0,0,0,0,0,0,0,0,0
8,1,0.5,Greg,41.51292,-73.44112,9/11/14,0.3,Sand,0,0,0,0,0,2,2,0,0,0
8,2,5,Greg,41.51285,-73.44112,9/11/14,1.5,Gravel,0,0,0,4,0,0,0,0,0,0
8,3,10,Greg,41.51283,-73.44116,9/11/14,1.5,Gravel,0,0,0,4,0,0,0,0,0,0
8,4,20,Greg,41.51274,-73.44112,9/11/14,2.6,Gravel,0,0,0,3,0,0,0,0,0,0
8,5,30,Gre0,41.51267,-73.44117,9/11/14,3,Gravel,0,0,0,4,0,0,0,0,0,0
8,6,40,Greg,41.51256,-73.44116,9/11/14,4,Sand,0,0,0,4,0,0,0,0,0,0
8,7,50,Greg,41.51243,-73.44115,9/11/14,4,Silt,0,0,0,3,0,0,0,0,0,0
8,8,60,Greg,41.51239,-734412,9/11/14,4,Silt,0,0,0,3,0,0,0,0,0,0
8,9,70,Greg,41.51233,-73.4412,9/11/14,3.3,Silt,0,0,0,0,3,0,0,0,0,0
8,10,80,Greg,41.51224,-73.44112,9/11/14,6,Silt,0,0,0,0,0,0,0,0,0,0
9,1,0.5,Greg,41.4805,-73.43462,9/2/14,0.2,Sand,0,0,0,2,2,0,0,0,0,0
9,2,5,Greg,41.7148047,-73.43468,9/2/14,0.5,Sand,0,2,2,3,5,0,0,2,0,0
9,3,19,Greg,41.48048,-73.43475,9/2/14,0.7,Muck,0,0,0,5,5,0,0,0,0,0
9,4,20,Greg,41.48046,-73.43487,9/2/14,1.3,Muck,0,0,0,5,2,0,0,0,0,0
9,5,30,Greg,41.48043,-73.43495,9/2/14,2,Muck,0,0,0,5,0,0,0,0,0,0
9,6,40,Greg,41.48041,-73.43509,9/2/14,2.2,Muck,0,0,0,0,0,0,0,0,0,0
9,7,30,Greg,41.48037,-73.43518,9/7/14,2.4,Muck,0,0,0,0,0,0,0,0,0,0
9,8,60,Greg,47.48035,-73.43529,9/8/14,2.2,Muck,1,0,0,4,0,0,0,0,0,0
9,9,70,Greg,41.4803,-73.43542,9/9/14,1.9,Muck,0,0,0,4,0,0,0,0,0,0
9,10,80,Greg,41.48025,-73.43552,9/10/14,1.3,Muck.,0,0,0,5,3,0,0,0,0,0
10,1,5,Gre0,41.44732,-73.4295,9/11/14,2,Sand,0,0,0,4,2,0,0,0,0,0
10,2,5,Greg,41.44729,-73.42957,9/12/14,1,Sand,0,0,0,0,2,0,0,0,0,2
10,3,10,Greg,41.44728,-73.4298,9/13/14,1.5,Silt,0,0,0,2,0,0,0,0,0,3
10,4,20,Greg,41.44725,-73.42974,9/14/14,1.8,Sand,0,0,0,2,2,0,0,0,0,3
10,5,30,Greg,41.44716,-73.42981,9/15/14,1,Muck,2,0,0,2,2,0,0,0,0,3
10,6,40,Greg,41.44712,-73.42991,9/16/14,5,Muck,2,0,0,5,0,0,0,0,0,2
10,7,50,Greg,41.44708,-73.42997,9/17/14,0.2,Muck,0,0,0,5,0,0,0,0,0,0
