Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,EleSp,LemMin,MyrSpi,NajMin,NymOdo,ValAme
8,4,20,Greg,41.51278,-73.44113,8/21/17,2.5,Sand,0,0,0,3,0,0,0
8,5,30,Greg,41.51265,-73.44118,8/21/17,2,Sand,0,0,0,3,0,0,0
8,6,40,Greg,41.51259,-73.44116,8/21/17,2,Sand,0,0,0,3,0,0,0
8,7,50,Greg,41.51249,-73.44121,8/21/17,2.8,Sand,0,0,0,3,0,0,0
8,8,60,Greg,41.51239,-73.44123,8/21/17,2.8,Sand,0,0,0,3,0,0,0
8,9,70,Greg,41.51229,-73.4412,8/21/17,45,Silt,0,0,0,0,0,0,0
8,10,80,Greg,41.51223,-73.44135,8/21/17,4,Silt,0,0,0,3,0,0,0
9,1,0.5,Greg,41.48049,-73.43466,8/21/17,0.3,Sand,0,0,0,0,0,0,0
9,2,5,Greg,41.48048,-73.43471,8/21/17,0.8,Sand,0,0,0,0,0,0,0
9,3,10,Greg,41.48048,-73.43476,8/21/17,1,Sand,0,0,0,0,0,0,0
9,4,20,Greg,41.48043,-73.43486,8/21/17,1.8,Sand,0,0,0,0,0,0,0
9,5,30,Greg,41.48044,-73.43497,8/21/17,2.2,Sand,0,0,0,0,0,0,0
9,6,40,Greg,41.48036,-73.43508,8/21/17,2.5,Sand,3,0,0,0,0,0,0
9,7,50,Greg,41.48031,-73.43521,8/21/17,2.4,Sand,3,0,0,0,0,0,0
9,8,60,Greg,41.48035,-73.43534,8/21/17,2.6,Sand,3,0,0,0,0,0,0
9,9,70,Greg,41.48028,-73.43542,8/21/17,2.2,Sand,0,0,0,0,0,0,0
9,10,80,Greg,41.48029,-73.43557,8/21/17,1.7,Sand,0,0,0,0,0,0,0
10,1,0.5,Greg,41.44734,-73.42954,8/21/17,0.2,Sand,0,0,0,0,0,0,0
10,2,5,Greg,41.44735,-73.42957,8/21/17,0.5,Sand,0,0,0,0,0,0,0
10,3,10,Greg,41.44728,-73.42961,8/21/17,0.7,Sand,0,0,0,0,0,0,0
10,4,20,Greg,41.44726,-73.42974,8/21/17,1.3,Sand,0,0,0,0,0,0,0
10,5,30,Greg,41.44719,-73.42981,8/21/17,1,Sand,0,0,0,0,0,0,0
10,6,40,Greg,41.44713,-73.42994,8/21/17,0.7,Sand,0,0,0,3,0,0,3
10,7,50,Greg,41.44711,-73.42997,8/22/17,0.2,Sand,0,0,0,3,0,0,3
