Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,ElaSp,EleSp,MyrSpi,NajMin,NymOdo,PotPer,SpiPol,StuPec,ValAme
4,1,5,Greg,41.5712,-73.48934,8/31/15,0.2,Muck,2,0,0,2,0,0,0,0,0,0
4,2,5,Greg,41.57115,-73.48839,8/31/15,0.5,Muck,2,0,0,2,0,0,0,0,0,0
4,3,10,Greg,41.57112,-73.48838,6/31/2015,0.8,Muck,2,0,0,2,0,0,0,0,0,0
4,4,20,Greg,41.57102,-7348845,8/31/15,1.5,Muck,2,0,0,2,0,2,0,0,0,0
4,0,30,Greg,41.57094,-73.48848,8/31/15,1.6,Muck,0,0,0,2,0,0,0,0,0,0
4,6,40,Greg,41.57089,-73.43854,8/31/15,2,Muck,0,0,0,2,0,0,0,0,0,0
4,7,50,Greg,41.57078,-73.48866,8/31/15,2.5,Muck,0,0,0,2,0,0,0,0,0,0
4,8,60,Greg,41.57067,-73.48863,8/31/15,3,Sand,3,0,0,2,0,0,0,0,0,0
4,9,70,Greg,41.57063,-73.48873,8/31/15,3,Silt,0,0,0,2,0,0,0,0,0,0
4,10,80,Greg,41.57052,-7348875,8/31/15,3.1,Sand,2,0,0,9,0,0,0,0,0,0
5,1,5,Greg,41.50211,-73.45153,8/31/15,0.2,Sand,0,0,0,1,2,0,0,0,0,0
5,2,5,Greg,41.50212,-73.4516,9/1/15,0.5,Sand,0,0,0,2,3,0,0,0,0,0
5,3,10,Greg,41.50208,-73.45165,9/2/15,1,Sand,0,0,0,2,3,0,0,0,0,0
5,4,20,Greg,41.50205,-73.45177,8/31/15,1.4,Sand,0,0,0,2,2,0,0,0,0,0
5,5,30,Greg,41.5021,-73.4519,8/31/15,1.8,Sand,0,0,0,3,0,0,0,0,0,0
5,6,40,Greg,41.50199,-73.45202,8/31/15,2.7,Silt,0,0,0,4,9,0,0,0,0,0
5,7,50,Greg,41.50193,-73.45214,8/31/15,2.8,Silt,0,0,0,4,0,0,0,0,0,0
5,8,60,(Sreg,41.50195,-72.45226,9/21/15,4,Silt,0,0,0,2,0,0,0,0,0,0
5,9,70,Greg,41.50196,-73.45237,8/31/15,4.5,Silt,0,0,0,0,0,0,0,0,0,0
5,10,0.5,Greg,41.50188,-73.45251,9/1/15,4.1,Silt,0,0,0,0,0,0,0,0,0,0
6,1,5,Greg,41.51382,-73.45339,9/2/15,0.2,Muck,0,0,0,0,0,0,0,0,0,0
6,2,5,Greg,41.51385,-73.45338,9/3/15,0.4,Muck,0,0,0,3,0,0,0,0,0,0
6,3,19,Greg,41.51393,-73.45339,3/31/15,0.8,Muck,0,0,0,3,0,0,0,0,0,0
6,4,26,Greg,41.51405,-73.45337,8/21/15,1.2,Muck,0,0,0,4,0,0,0,0,0,0
6,5,30,Greg,41.5142,-73.45337,8/22/15,1.6,Muck,0,0,0,3,0,0,0,0,0,0
6,6,40,Gre0,41.51422,-73.45334,8/23/15,1.8,Muck,0,0,0,3,0,0,0,0,0,0
6,7,50,(Greg,41.51429,-73.4534,8/24/15,2,Muck,0,0,0,3,0,0,0,0,0,0
6,8,60,Greg,41.51438,-73.45347,8/25/15,2.7,Silt,0,0,0,2,0,0,0,0,0,0
6,9,70,Greg,41.51448,-7345346,8/26/15,4,Silt,0,0,0,0,0,0,0,0,0,0
7,1,40,Greg,41.51466,-7345248,8/27/15,4.7,Silt,0,0,0,0,0,0,0,0,0,0
7,1,0.5,Greg,41.57148,-73.44272,8/28/15,0.2,Gravel,1,0,0,2,0,0,0,0,0,0
7,2,5,Greg,41.57146,-73.44277,8/29/15,1,Gravel,0,0,0,2,3,0,0,0,0,0
7,3,10,Greg,41.57147,-73.44285,8/28/15,1,Sand,0,0,0,2,3,0,0,0,0,0
7,4,20,Greg,41.57146,-73.44298,8/29/15,1.8,Sand,0,0,0,2,0,0,0,0,0,0
7,5,30,Greg,41.57148,-73.44307,8/27/15,2.5,Sand,0,0,0,3,0,0,0,0,0,0
7,5,40,Greg,41.57146,73.44321,8/27/15,3.5,Silt,0,0,0,3,0,0,0,0,0,0
7,7,50,Greg,41.57147,-7344336,8/27/15,4.6,Silt,0,0,0,0,0,0,0,0,0,0
7,8,60,Greg,41.57142,-73.44346,8/28/15,5.3,Silt,0,0,0,0,0,0,0,0,0,0
7,9,70,Greg,41.57141.,-73.44357,8/29/15,5.9,Silt,0,0,0,0,0,0,0,0,0,0
7,10,80,Greg,41.5714,-73.44368,8/30/15,6.7,Silt,0,0,0,0,0,0,0,0,0,0
8,1,0.5,Greg,41.51293,-7344120,8/31/15,0.5,Gravel,0,0,0,2,0,3,0,0,0,0
8,2,5,Greg,41.512848,-73.44116,9/1/15,1.2,Sand,0,0,0,2,3,0,0,0,0,0
8,3,10,Greg,41.51283,-73.44117,9/2/15,1.5,Sand,0,0,0,0,3,0,0,0,0,0
8,4,20,Greg,41.51277,-73.44115,9/3/15,2,Sand,0,0,0,4,0,0,0,0,0,0
8,5,30,Greg,41.51264,-73.44118,9/4/15,2,Sand,0,0,0,4,0,0,0,0,0,0
8,5,40,Greg,41.51253,-73.44119,9/5/15,2,Sand,0,0,0,4,0,0,0,0,0,0
8,7,50,Greg,41.51247,-73.44119,9/6/15,2,Sand,0,0,0,4,0,0,0,0,0,0
8,8,60,Greg,41.51238,-73.44123,9/7/15,3,Rock,0,0,0,4,0,0,0,0,0,0
8,9,70,Gre0,41.51228,-7344124,9/8/15,3.6,Sand,0,0,0,4,0,0,0,0,0,0
8,10,80,Greg,41.51218,-73.44119,9/9/15,4.3,Silt,0,0,0,0,0,0,0,0,0,0
9,1,0.5,Greg,41.48044,-7343462,9/10/15,0.2,Sand,0,0,2,2,3,0,2,0,0,0
9,2,5,Greg,41.48045,-73.43469,9/11/15,0.8,Sand,0,0,0,2,3,0,0,0,0,0
9,3,10,Greg,41.48048,-73.43472,9/12/15,1,Sand,0,0,0,2,3,0,0,0,0,0
9,4,20,Greg,41.48043,-73.43486,9/13/15,1.5,Sand,0,0,0,2,0,0,0,0,0,0
9,5,30,Greg,41.4804,-73.43496,9/14/15,1.7,Sand,0,0,0,0,0,0,0,0,0,0
9,6,40,Greg,41.48036,-73.43508,9/15/15,2,Sand,0,0,0,0,0,0,0,0,0,0
9,7,50,Greg,41.48032,-73.43521,9/16/15,2.1,Sand,2,0,0,0,0,0,0,0,0,0
9,8,60,Greg,41.48023,-73.43526,9/17/15,1.9,Sand,2,0,0,0,0,0,0,0,0,0
9,9,70,Greg,41.46014,-73.43534,9/18/15,1.7,Sand,0,0,0,0,0,0,0,0,0,0
9,10,80,Greg,41.48013,-73.43551,9/19/15,1.4,Sand,2,0,0,2,3,0,0,0,0,0
10,1,0.5,Greg,41.44731,-73.47951,9/20/15,0.2,Sand,2,0,0,3,0,0,0,0,0,0
10,2,5,Greg,41.44729,-73.42956,9/21/15,0.6,Sand,3,0,0,2,0,0,0,0,0,0
10,3,19,Sreg,41.44728,-73.42962,9/1/15,1,Sand,2,0,0,2,0,0,0,0a,0,2
10,4,20,Greg,41.44719,-73.42971,9/2/15,1.3,Sand,0,0,0,2,0,0,0,0,0,2
10,5,30,Greg,41.44714,-72.4298,9/3/15,1,Sand,0,0,0,0,0,0,0,0,0,4
10,6,40,(sreg,41.44709,-73.42989,9/4/15,0.4,Sand,3,0,0,3,0,0,0,0,0,3
10,7,50,Greg,41.44706,-73.42997,9/5/15,0.1,Muck,2,0,0,3,2,0,0,0,0,0
