Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,EleSp,LemMin,MyrSpi,NymOdo,PotFol,SpiPol,ValAme
7,7,50,Greg,41.57158,-73.44335,8/28/18,0.5,Silt,0,0,0,0,0,0,0,0
7,8,60,Greg,41.57156,-73.44345,8/28/18,6,Silt,0,0,0,0,0,0,0,0
7,9,70,Greg,41.57158,-73.44357,8/28/18,6.8,Silt,0,0,0,0,0,0,0,0
7,10,80,Greg,41.57159,-73.44373,8/28/18,8,Silt,0,0,0,0,0,0,0,0
8,1,0.5,Greg,41.51293,-73.44125,8/28/18,1,Sand,0,0,0,0,0,1,0,0
8,2,5,Greg,41.5129,-73.44125,8/28/18,0,Gravel,0,2,0,0,0,2,0,0
8,3,10,Greg,41.51283,-73.44121,8/28/18,1.6,Gravel,0,0,0,2,0,0,0,0
8,4,20,Greg,41.51276,-73.44119,8/28/18,1.6,Gravel,0,0,0,0,0,0,0,0
8,5,30,Greg,41.51269,-73.44119,8/28/18,2,Gravel,0,0,0,3,0,0,0,0
8,6,40,Greg,41.51262,-73.44117,8/28/18,2.2,Silt,0,0,0,4,0,0,0,0
8,7,50,Greg,41.51249,-73.4412,8/28/18,3.1,Gravel,0,0,0,3,0,0,0,0
8,8,60,Greg,41.51238,-73.44125,8/28/18,2.6,Gravel,0,0,0,3,0,0,0,0
8,9,70,Greg,41.51229,-73.44127,8/28/18,3.3,Silt,0,0,0,3,0,0,0,0
8,10,80,Greg,41.51221,-73.44124,8/28/18,4,Silt,0,0,0,3,0,0,0,0
9,1,0.5,Greg,41.48041,-73.43462,8/28/18,0.8,Sand,1,1,0,2,0,0,0,0
9,2,5,Greg,41.48039,-73.43467,8/28/18,1.6,Sand,0,0,0,0,0,0,0,0
9,3,10,Greg,41.4804,-73.43475,8/28/18,1.7,Sand,0,0,0,0,0,0,0,0
9,4,20,Greg,41.4804,-73.43488,8/28/18,1.6,Sand,0,0,0,0,0,0,0,0
9,5,30,Greg,41.4804,-73.43497,8/28/18,2,Silt,1,0,0,1,0,0,0,0
9,6,40,Greg,41.48041,-73.43511,8/28/18,2.4,Silt,0,0,0,1,0,0,0,0
9,7,50,Greg,41.4804,-73.4352,8/28/18,2.5,Silt,0,0,0,1,0,0,0,0
9,8,60,Greg,41.48039,-73.43531,8/28/18,2.4,Silt,1,0,0,1,0,0,0,0
9,9,70,Greg,41.48036,-73.43545,8/28/18,2,Silt,0,0,0,2,0,0,0,0
9,10,80,Greg,41.48034,-73.43554,8/28/18,0,Silt,0,0,0,1,0,0,0,0
10,1,0.5,Greg,41.44734,-73.4295,8/29/18,0.7,Sand,0,0,0,2,0,0,0,0
10,2,5,Greg,41.44731,-73.42956,8/29/18,1.3,Sand,0,0,0,2,0,0,0,0
10,3,10,Greg,41.44729,-73.42966,8/29/18,0,Sand,0,0,0,2,0,0,0,0
10,4,20,Greg,41.44724,-73.42975,8/29/18,1.5,Sand,0,0,0,2,0,0,0,0
10,5,30,Greg,41.44718,-73.42981,8/29/18,1.8,Sand,2,0,0,2,0,0,0,2
10,6,40,Greg,41.44712,-73.42987,8/29/18,1,Sand,0,0,0,2,0,0,0,2
10,7,50,Greg,41.44707,-73.42998,8/29/18,0.2,Sand,0,0,0,2,0,0,0,0
