Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,Weather,CerDem,ElaSp,EleSp,LemMin,MyrSpi,NajFle,NajMin,PotPer,ValAme
4,4,20,Martha,41.57101,-73.48847,8/31/09,1.5,Sand,sunny,0,0,0,0,3,0,0,0,0
4,5,30,Martha,41.57094,-73.48851,8/31/09,2.2,Sand,sunny,0,0,0,0,2,0,0,0,0
4,6,300,Martha,41.57086,-73.4886,8/31/09,2.7,Sand,sunny,0,0,0,0,0,0,0,0,0
4,7,50,Martha,41.57077,-73.48866,8/31/09,3.1,Sand,sunny,0,0,0,0,3,0,0,0,0
4,8,60,Martha,41.5707,-73.48873,8/31/09,3.4,Sand,sunny,0,0,0,0,0,0,0,0,0
4,9,70,Martha,41.57063,-73.48878,8/31/09,3.5,Sand,sunny,0,0,0,0,2,0,0,0,0
4,10,80,Martha,41.57055,-73.48884,8/31/09,0,ND,sunny,0,0,0,0,0,0,0,0,0
5,1,0,Marna,41.50223,-73.45148,8/27/09,0,Sand,sunny,0,0,0,0,0,0,0,0,0
5,2,5,Manna,41.50225,-73.45155,8/27/09,1,Sand,sunny,0,0,0,0,2,0,2,0,0
5,3,10,Marna,41.50223,-73.45162,8/27/09,1,Sand,sunny,0,0,0,0,2,0,4,0,0
5,4,20,Marna,41.5021,-73.45175,8/27/09,2,Sand,sunny,0,0,0,0,3,0,4,0,0
5,3,30,Manna,41.50219,-73.45186,8/27/09,2.1,Sand,sunny,0,0,0,0,3,0,0,0,0
5,6,40,Manna,41.50213,-73.45193,8/27/09,2.9,Sand,sunny,2,0,0,0,4,0,0,0,0
5,7,50,Marna,41.5021,-73.45208,8/27/09,0,ND,sunny,0,0,0,0,4,0,0,0,0
5,8,60,Marna,41.502,-73.45217,8/27/09,0,ND,sunny,0,0,0,0,5,0,0,0,0
5,9,70,Manna,41.50192,-73.45231,8/27/09,0,ND,sunny,0,0,0,0,5,0,0,0,0
5,10,80,Marna,41.50223,-73.45236,8/27/09,0,ND,sunny,0,0,0,0,5,0,0,0,0
6,1,0,Martha,41.51389,-73.45361,8/27/09,0.1,Sand,sunny,0,0,0,0,0,0,0,0,0
6,2,5,Martha,41.51392,-73.45356,8/27/09,0.5,Sand,sunny,0,0,0,0,1,0,0,0,0
6,3,10,Martha,41.51396,-73.45355,8/27/09,1,Sand,sunny,0,0,0,0,2,0,0,0,0
6,4,20,Martha,41.51404,-73.45352,8/27/09,1.9,Sand,sunny,0,0,0,0,3,0,0,0,0
6,5,30,Martha,41.51416,-73.45354,8/27/09,2,Sand,sunny,0,0,0,0,4,0,0,0,0
6,6,40,Martha,41.51424,-73.45351,8/27/09,2.5,Sand,sunny,0,0,0,0,3,0,0,0,0
6,7,50,Martha,41.51433,-73.45357,8/27/09,3.2,Sand,sunny,0,0,0,0,4,0,0,0,0
6,8,60,Martha,41.51443,-73.45358,8/27/09,0,ND,sunny,0,0,0,0,0,0,0,0,0
6,9,70,Martha,41.51453,-73.45362,8/27/09,0,ND,sunny,0,0,0,0,0,0,0,0,0
6,10,80,Martha,41.5146,-73.45375,8/27/09,0,ND,sunny,0,0,0,0,0,0,0,0,0
7,1,0,Martha,41.57151,-73.44274,8/21/09,0.1,Sand,Sunny,0,0,0,0,0,0,0,0,0
7,2,5,Martha,41.57151,-73.44279,8/22/09,0.8,Sand,Sunny,0,0,0,0,2,0,0,0,0
7,3,10,Martha,41.57191,-73.44287,8/23/09,1.1,Sand,Sunny,0,0,0,0,3,0,2,0,0
7,4,20,Mertha,41.57191,-73.44312,8/24/09,2.1,Sand,Sunny,0,0,0,0,3,0,2,0,0
7,5,30,Martha,41.57148,-73.44312,8/25/09,3.2,Sand,Sunny,0,0,0,0,4,0,0,0,0
7,6,40,Martha,41.47148,-73.443273,8/26/09,0,ND,Sunny,0,0,0,0,0,0,0,0,0
7,7,50,Martha,41.5715145,-7444432,8/27/09,0,ND,Sunny,0,0,0,0,0,0,0,0,0
7,8,60,Martha,41.47148,-73.44347,8/28/09,0,ND,Sunny,0,0,0,0,0,0,0,0,0
7,9,70,NMarnha,41.5714,-73.44361,8/29/09,0,ND,Sunny,0,0,0,0,0,0,0,0,0
7,10,80,Martha,41.57134,-7344370,8/30/09,0,ND,Sunny,0,0,0,0,0,0,0,0,0
8,1,0,Martha,41.51297,-73.44122,8/31/09,0.3,Sand,Sunny,0,0,0,0,0,0,0,0,0
8,2,5,Martha,41.51292,-73.4412,8/31/09,0.8,Sand,Sunny,0,0,0,0,0,0,0,0,0
8,3,10,Martha,41.51289,-73.44119,8/31/09,1.9,Sand,Sunny,0,2,2,0,0,0,2,0,0
8,4,20,Martha,41.51277,-73.4412,8/31/09,1,Sand,Sunny,0,0,0,0,1,0,0,0,0
8,5,30,Martha,41.51271,-73.44115,8/31/09,2.2,Sand,Sunny,0,0,0,0,3,0,0,0,0
8,6,40,Martha,41.51258,-73.44119,8/31/09,2.1,Sand,Sunny,0,0,0,0,2,0,0,0,0
8,7,50,Martha,41.5125,-73.44114,8/31/09,0,ND,Sunny,0,0,0,0,4,0,0,0,0
8,8,60,Martha,41.51242,-73.44116,8/31/09,0,ND,Sunny,0,0,0,0,4,0,0,0,0
8,9,70,Martha,41.51231,-73.44116,8/31/09,0,ND,Sunny,0,0,0,0,2,0,0,0,0
8,10,80,Martha,41.51222,-73.44123,8/31/09,0,ND,Sunny,0,0,0,0,4,0,0,0,0
9,1,0,Martha,41.48045,-73.43461,9/1/09,0.2,Sand,Sunny,0,3,0,0,1,0,0,0,0
9,2,5,Martha,41.46044,-73.43468,9/2/09,0.8,Sand,Sunny,0,0,0,0,3,0,2,0,0
9,3,10,Martha,41.44043,-7343474,9/3/09,1,Sand,Sunny,0,0,0,0,2,0,0,0,0
9,4,20,Martha,41.48039,-73.43486,9/4/09,1.9,Sand,Sunny,3,0,0,0,1,0,0,1,0
9,5,30,Martha,41.48038,-73.434968,9/5/09,2,Sand,Sunny,0,0,0,0,0,0,0,0,0
9,6,40,Martha,41.48034,73.43508,9/6/09,2.5,Sand,Sunny,0,0,0,0,0,0,0,0,0
9,7,50,Martha,41.48035,-73.4352,9/7/09,2.5,Sand,Sunny,0,0,0,0,0,0,0,0,0
9,8,60,Martha,41.48025,-73.4353,9/8/09,2.5,Sand,Sunny,0,0,0,0,0,0,0,0,0
9,0,70,Martha,41.4802,-73.43539,9/9/09,2.1,Sand,Sunny,0,0,0,0,0,0,0,0,0
9,10,80,Martha,41.48017,-73.43551,9/10/09,2,Sand,Sunny,0,0,0,0,2,0,0,0,0
10,1,0,Martha,41.44706,-73.42996,8/27/09,0.1,Sand,Sunny,0,0,0,0,2,0,0,0,0
10,2,5,Martha,41.4471,-73.42991,8/27/09,0.5,Muck,Sunny,2,0,0,0,3,0,0,0,2
10,3,10,Martha,41.44713,-73.42986,8/27/09,0.5,Muck,Sunny,0,0,0,0,3,0,0,0,3
10,4,20,Martha,41.4472,-73.42978,8/27/09,1.2,Muck,Sunny,2,0,0,0,2,0,0,0,4
10,5,30,Martha,41.44725,-73.42969,8/27/09,1.5,Muck,Sunny,0,0,0,0,2,0,0,0,2
10,6,40,Martha,41.44733,-73.42962,8/27/09,1,Muck,Sunny,0,0,0,0,2,0,0,0,0
10,7,50,Martha,41.44743,-73.42958,8/27/09,0.5,Muck,Sunny,,,,,,,,,
