Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,ElaSp,EleSp,LemMin,MyrSpi,NajMin,NymOdo,Typha,ZebMsc
10,2,5,Greg,41.44734,-73.42959,9/14/20,0.4,Muck,0,0,0,0,3,0,0,0,0
10,3,10,Greg,41.44729,-73.42963,9/14/20,1,Muck,0,0,0,0,3,0,0,0,0
10,4,20,Greg,41.44725,-73.4297,9/14/20,1.5,Sand,0,0,0,0,3,0,0,0,0
10,5,30,Greg,41.44722,-73.42982,9/14/20,1.5,Sand,0,0,0,0,3,0,0,0,0
10,6,40,Greg,41.44715,-73.42992,9/14/20,0.2,Muck,0,0,0,0,5,0,0,0,0
11,7,0,Geddy,41.2951,-73.2746,9/15/20,0.2,Sand,0,0,0,0,0,0,0,0,1
11,8,0,Geddy,41.2912,-73.2735,9/16/20,0.2,Sand,0,0,0,0,0,0,0,0,1
11,9,0,Geddy,41.281,-73.2725,9/17/20,0.2,Sand,0,0,0,0,0,0,0,0,1
11,10,0,Geddy,41.281,-73.2639,9/18/20,0.2,Sand,0,0,0,0,0,0,0,0,1
11,11,0,Geddy,41.281,-73.2626,9/19/20,0.2,Sand,0,0,0,0,0,0,0,0,1
11,12,0,Geddy,41.2942,-73.2642,9/20/20,0.2,Sand,0,0,0,0,0,0,0,0,1
