Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,ElaSp,EleSp,MyrSpi,NajMin,NymOdo,StuPec,ValAme
5,7,50,Greg,41.50197,-73.45212,9/2/16,3.5,Silt,2,0,0,3,0,0,0,0
5,8,60,Greg,41.50198,-73.45226,9/2/16,4.7,Silt,0,0,0,0,0,0,0,0
5,9,70,Greg,41.50201,-73.4524,9/2/16,5.2,Silt,0,0,0,0,0,0,0,0
5,10,80,Greg,41.50199,-73.45253,9/2/16,5.5,Silt,0,0,0,0,0,0,0,0
6,1,0.5,Greg,41.51381,-73.45337,9/2/16,0.2,Muck,0,0,0,2,0,0,0,0
6,2,5,Greg,41.51387,-73.45339,9/2/16,0.3,Muck,0,0,0,2,0,0,0,0
6,3,10,Greg,41.51392,-73.45341,9/2/16,0.5,Muck,0,0,0,3,0,0,0,0
6,4,20,Greg,41.5104,-73.45338,9/2/16,1,Muck,0,0,0,0,0,0,0,0
6,5,30,Greg,41.51413,-73.45341,9/2/16,1.3,Silt,0,0,0,0,0,0,0,0
6,6,40,Greg,41.51419,-73.45337,9/2/16,1.6,Silt,0,0,0,5,0,0,0,0
6,7,50,Greg,41.51429,-73.45335,9/2/16,1.8,Silt,0,0,0,5,0,0,0,0
6,8,60,Greg,11.51438,-73.45334,9/2/16,2.7,Silt,0,0,0,4,0,0,0,0
6,9,70,Greg,41.51447,-73.45336,9/2/16,5,Silt,0,0,0,0,0,0,0,0
6,10,80,Greg,41.51457,-73.45333,9/2/16,5,Silt,0,0,0,0,0,0,0,0
7,1,0.5,GregBugbee,41.57148,-73.44279,9/2/16,0.2,Gravel,0,0,0,2,0,0,0,0
7,2,0.5,GregBugbee,41.57146,-73.44281,9/2/16,0.6,Gravel,0,0,0,4,2,0,0,0
7,3,10,Greg,4157146,-73.44292,9/2/16,1.6,Sand,0,0,0,5,0,0,0,0
7,4,20,GregBugbee,41.57144,-73.44301,9/2/16,1.8,Silt,0,0,0,5,0,0,0,0
7,5,30,GregBugbee,41.57141,-73.44312,9/2/16,2.4,Silt,0,0,0,4,0,0,0,0
7,6,40,Greg,41.57139,-73.44326,9/2/16,3.3,Silt,3,0,0,4,0,0,0,0
7,7,50,GregBugbee,41.57138,-73.44337,9/2/16,4.5,Silt,0,0,0,0,0,0,0,0
7,8,60,Greg,41.57136,-73.4435,9/2/16,5.2,Silt,0,0,0,0,0,0,0,0
7,9,70,GregBugbee,41.57132,-73.4436,9/2/16,6.1,Silt,0,0,0,0,0,0,0,0
7,10,80,GregBugbee,41.5713,-73.44373,9/2/16,7.3,Silt,0,0,0,0,0,0,0,0
8,1,0.5,Greg,41.51295,-73.44118,9/2/16,0.3,Gravel,0,0,2,0,2,0,0,0
8,2,5,Greg,41.5129,-73.44119,9/2/16,0.3,Gravel,0,0,0,0,2,0,0,0
8,3,10,Greg,41.51286,-73.44116,9/2/16,1.2,Sand,0,0,0,3,0,0,0,0
8,4,20,Greg,41.51277,-73.44113,9/2/16,1.4,Sand,0,0,0,4,0,0,0,0
8,5,30,Greg,41.51267,-73.44115,9/2/16,1.4,Sand,0,0,0,4,0,0,0,0
8,6,40,Greg,41.51258,-73.44117,9/2/16,1.4,Gravel,0,0,0,4,0,0,0,0
8,7,40,Greg,41.51248,-73.44119,9/2/16,1.4,Gravel,0,0,0,4,0,0,0,0
8,8,60,Greg,41.5124,-73.44122,9/2/16,2,Sand,0,0,0,4,0,0,0,0
8,9,70,Greg,41.51231,-73.4412,9/2/16,3.6,Silt,0,0,0,4,0,0,0,0
8,10,80,Greg,41.51221,-73.4412,9/2/16,3.4,Silt,0,0,0,3,0,0,0,0
9,1,0.5,Greg,41.48044,-73.43468,9/3/16,0.2,Sand,0,1,0,2,2,0,0,0
9,2,5,Greg,41.48044,-73.43474,9/3/16,0.6,Sand,0,0,0,3,2,0,0,0
9,3,10,Greg,41.48047,-73.43476,9/3/16,0.8,Sand,0,0,0,3,0,0,0,0
9,4,20,Greg,41.48043,-73.43491,9/3/16,0.8,Sand,0,0,0,5,0,0,0,0
9,5,30,Greg,41.4804,-73.43504,9/3/16,15,Silt,0,0,0,4,0,0,0,0
9,6,40,Greg,41.48036,-73.43517,9/3/16,2,Silt,3,0,0,4,0,0,0,0
9,7,50,Greg,41.48036,-73.43523,9/3/16,2,Silt,2,0,0,3,0,0,0,0
9,8,60,Greg,41.48036,-73.43539,9/3/16,1.7,Silt,0,0,0,3,0,0,0,0
9,9,70,Greg,41.48016,-73.43544,9/3/16,1.7,Sand,0,0,0,5,0,0,0,0
9,10,80,Greg,41.48016,-73.43556,9/3/16,0.7,Sand,0,0,0,3,3,0,0,0
10,1,0.5,Greg,41.44728,-73.42946,9/3/16,0.1,Sand,2,0,0,2,0,0,2,0
10,2,10,Greg,41.44726,-73.42955,9/3/16,0.3,Sand,2,0,0,2,2,0,0,0
10,3,10,Greg,41.44727,-73.42959,9/3/16,0.4,Silt,2,0,0,2,2,0,0,0
10,4,20,Greg,41.44722,-73.4297,9/3/16,0.7,Silt,2,0,0,2,0,0,0,2
10,5,30,Greg,41.4472,_-73.42977.,9/3/16,0.8,Sand,2,0,0,2,0,0,0,3
10,6,40,Greg,41.44713,-73.4299,9/3/16,0.3,Sand,3,0,0,2,0,0,0,2
10,7,50,Greg,41.44708,-73.42996,9/3/16,0.1,Sand,3,0,0,2,0,0,0,0
