Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,Weather,CerDem,ElaSp,LemMin,MyrSpi,NajMin,NymOdo,PotBic,PotCri,PotPer,PotPus,StuPec,Unidentif3,ValAme,ZanPal
7,8,60,GregBugbee,41.57139,-73.44345,9/12/08,5.6,Sand,Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9,70,Greg,41.57149,-73.44359,9/12/08,6.8,Sand,Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,10,80,GregBugbee,41.57138,-73.44369,9/12/08,7,Sand,Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,GregBugbee,41.51294,-73.44122,9/12/08,0.3,Gravel,Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,5,GregBugbee,41.5129,-73.44125,9/12/08,0.5,Sand,Cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,3,10,GregBugbee,41.51285,-73.44127,9/12/08,0.8,Sand,Cloudy,0,0,0,0,0,0,0,0,0,0,0,1,0,2
8,4,20,Greg,41.51278,-73.44118,9/12/08,1,Gravel,Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8,5,30,Greg,41.51268,-73.44123,9/12/08,1,Gravel,Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,40,Greg,41.51262,-73.4412,9/12/08,1.8,Sand,Cloudy,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8,7,50,Greg,41.51252,-73.44119,9/12/08,2.1,Sand,Cloudy,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8,8,60,GregBugbee,41.5124,-73.44122,9/12/08,2.96,Sand,Cloudy,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8,9,70,Greg,41.51237,-73.44121,9/12/08,3,Gravel,Cloudy,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8,10,80,Greg,41.51224,-73.44135,9/12/08,3,Sand,Cloudy,0,0,0,4,0,0,0,0,0,0,0,0,0,0
9,1,0,GregBugbee,41.48042,-73.43463,9/12/08,0.2,Sand,Cloudy,0,1,0,2,0,0,0,0,2,0,0,1,0,0
9,2,5,GregBugbee,41.4804,-73.43465,9/12/08,0.8,Sand,Cloudy,0,0,0,2,1,0,0,0,2,0,0,0,0,0
9,3,10,Greg,41.48039,-73.4347,9/12/08,1,Sand,Cloudy,0,0,0,3,0,0,0,0,0,0,0,0,0,0
9,4,20,GregBugbee,41.4804,-73.43486,9/12/08,1.8,Sand,Cloudy,1,0,0,4,0,0,0,0,0,0,0,0,0,0
9,5,30,Greg,41.48037,-73.43497,9/12/08,2,Sand,Cloudy,1,0,0,5,0,0,0,0,0,0,0,0,0,0
9,6,40,Greg,41.48032,-73.43507,9/12/08,2.2,Sand,Cloudy,1,0,0,5,0,0,0,0,0,0,0,0,0,0
9,7,50,Greg,41.48035,-73.43518,9/12/08,2.5,Sand,Cloudy,0,0,0,4,0,0,0,0,0,0,0,0,0,0
9,8,60,Greg,41.48036,-73.43532,9/12/08,2.3,Sand,Cloudy,0,0,0,4,0,0,0,0,0,0,0,0,0,0
9,9,70,Greg,41.48021,-73.43542,9/12/08,1.8,Sand,Cloudy,3,0,0,3,0,0,0,0,0,0,0,0,0,0
9,10,80,GregBugbee,41.48018,-73.43555,9/12/08,1.25,Sand,Cloudy,2,0,0,3,0,0,0,0,0,0,0,0,0,0
10,1,1,GregBugbee,41.44711,-73.42995,9/12/08,0.2,Sand,Cloudy,0,0,1,2,2,0,0,0,0,0,0,0,0,0
10,2,5,Greg,41.44713,-73.42991,9/12/08,0.5,Sand,Cloudy,2,0,1,4,0,0,0,0,0,0,0,0,0,0
10,3,10,Greg,41.44714,-73.42984,9/12/08,0.8,Sand,sunny,2,0,1,4,0,0,0,0,0,0,0,0,2,0
10,4,20,GregBugbee,41.44718,-73.42974,9/12/08,1.5,Sand,Cloudy,2,0,0,2,0,0,0,0,0,0,0,0,2,0
10,5,30,Greg,41.44718,-73.4296,9/12/08,1.2,Sand,Cloudy,2,0,0,2,0,0,0,0,0,0,0,0,0,0
10,6,40,GregBugbee,41.44724,-73.4295,9/12/08,0.5,Sand,Cloudy,0,0,1,5,0,0,0,0,0,0,0,0,0,0
10,7,43,GregBugbee,41.44726,-73.42947,9/12/08,0.3,Sand,Cloudy,0,0,1,2,2,0,1,0,0,0,0,0,0,1
